Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
78,LAC,John Brownlee,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
79,SAS,Carlos Briggs,Baylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
80,SAC,Alvin Franklin,Houston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
81,BKN,Steve Hale,UNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
82,WAS,Barry Mungar,St. Bonaventure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
83,POR,David Shaffer,Florida State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
84,UTA,Marty Embry,DePaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
85,DAL,Myron Jackson,Little Rock,1.0,8.0,22.0,11.0,3.0,6.0,0.222,0.0,0.875,2.8,1.4,0.4,0.8,0.0,-0.10400000000000001,-5.6,0.0,1986
86,DET,Chauncey Robinson,Mississippi State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
87,DEN,Anthony Watson,San Diego State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
88,ATL,Efrem Winters,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
89,HOU,Conner Henry,UC Santa Barbara,2.0,93.0,756.0,305.0,83.0,102.0,0.37799999999999995,0.379,0.757,8.1,3.3,0.9,1.1,0.1,0.006999999999999999,-3.8,-0.3,1986
90,PHI,Wes Stallings,East Tennessee State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
91,SAC,Bob Beecher,Virginia Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
92,LAL,Dale Blaney,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
93,BOS,Tony Benford,Texas Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
94,NYK,Jerome Mincey,UAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
95,IND,Richard Rellford,Michigan,1.0,4.0,42.0,16.0,7.0,1.0,0.625,0.0,0.75,10.5,4.0,1.8,0.3,0.0,0.048,-1.8,0.0,1986
96,CLE,Ben Davis,Gardner-Webb University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
97,GSW,Clinton Smith,Cleveland State University,2.0,46.0,386.0,134.0,60.0,49.0,0.43,0.0,0.7140000000000001,8.4,2.9,1.3,1.1,0.3,0.035,-2.4,0.0,1986
98,CHI,Jimmy Gilbert,Texas A&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
99,OKC,Dominic Pressley,Boston College,1.0,13.0,124.0,23.0,15.0,26.0,0.29,0.0,0.556,9.5,1.8,1.2,2.0,-0.2,-0.069,-6.7,-0.1,1986
100,LAC,Steffond Johnson,San Diego State,1.0,29.0,234.0,74.0,43.0,5.0,0.42200000000000004,0.0,0.526,8.1,2.6,1.5,0.2,-0.2,-0.037000000000000005,-9.8,-0.5,1986
101,PHO,Greg Spurling,Carson-Newman College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
102,SAS,Earl Kelley,UConn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
103,SAC,Keith Morrison,Washington State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
104,WAS,Paul Fortier,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
105,BKN,Archie Johnson,UAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
106,POR,Jerry Adams,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
107,UTA,Kerry Boagni,Cal State Fullerton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
108,DAL,Jay Bilas,Duke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
109,DET,Clarence Hanley,Old Dominion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
110,DEN,Jon Collins,Eastern Illinois University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
111,ATL,Nicky Jones,VCU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
112,HOU,Andre Banks,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
113,PHI,Kevin Holmes,DePaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
114,MIL,Bobby Deaton,Southwstern University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
115,LAL,Roger Harden,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
116,BOS,Dave Colbert,Dayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
117,NYK,Butch Wade,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
118,IND,Jeff Hall,Louisville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
119,CLE,Gilbert Wilburn,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
120,CHI,Pete Myers,Little Rock,9.0,377.0,6039.0,1804.0,671.0,807.0,0.42100000000000004,0.21899999999999997,0.6679999999999999,16.0,4.8,1.8,2.1,5.8,0.046,-2.5,-0.8,1986
121,GSW,Bobby Lee Hurt,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
122,OKC,Curtis Kitchen,South Florida,1.0,6.0,31.0,9.0,9.0,1.0,0.5,0.0,0.75,5.2,1.5,1.5,0.2,0.1,0.217,4.8,0.1,1986
123,PHO,Jim McCaffrey,Holy Cross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
124,LAC,Tim Kempton,Notre Dame,8.0,280.0,3758.0,1259.0,795.0,307.0,0.48100000000000004,0.0,0.677,13.4,4.5,2.8,1.1,3.3,0.042,-3.8,-1.7,1986
125,SAS,Kevin Lewis,SMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
126,SAC,John Flowers,UNLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
127,BKN,Troy Webster,George Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
128,WAS,Lorenzo Duncan,Sam Houston State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
129,POR,Tony Hampton,Montana State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
130,UTA,Chuck Everson,Villanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
131,DAL,Greg Anderson,Lamar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
132,DET,Greg Grant,Utah State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
133,DEN,Anthony Frederick,Pepperdine,3.0,147.0,1640.0,718.0,280.0,135.0,0.439,0.273,0.6990000000000001,11.2,4.9,1.9,0.9,0.7,0.019,-2.5,-0.2,1986
134,ATL,Alexander Volkov,,2.0,149.0,2453.0,1019.0,384.0,333.0,0.455,0.33299999999999996,0.613,16.5,6.8,2.6,2.2,4.5,0.087,0.5,1.5,1986
135,HOU,Robert Worthy,Myers University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
136,PHI,Andre McCloud,Seton Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
137,MIL,John Kimbrell,Lipscomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
138,LAL,Walter Downing,Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
139,BOS,Greg Wendt,Detroit Mercy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
140,NYK,Duane Kendall,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
141,IND,Steve Woodside,Oregon State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
142,CLE,Ralph Dalton,Georgetown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
143,GSW,Steve Kenilvort,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
144,CHI,Robert Henderson,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
145,OKC,Glen McCants,Clemson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
146,LAC,Johnny Brown,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
147,PHO,Damon Goodwin,Dayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
148,SAS,Michael Anderson,University of Texas-Pan American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
149,SAC,Ron Rankin,SE Missouri State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
150,WAS,Joe Price,Notre Dame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
151,BKN,Jim Dolan,Notre Dame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
152,POR,Randy Schiff,Linfield College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
153,UTA,Mark Mitchell,University of Hartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
154,DAL,Kim Cooksey,Middle Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
155,DET,Larry Polec,Michigan State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
156,DEN,Mike Marshall,McNeese State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
157,ATL,Valerie Tikhonenko,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
158,HOU,Rick Olson,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
159,PHI,Dan Palombizio,Ball State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
160,MIL,Jeff Strong,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
161,LAL,Mark Coleman,Mississippi Valley State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
162,BOS,Tom Ivey,Boston University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986
1,SAS,David Robinson,United States Naval Academy,14.0,987.0,34271.0,20790.0,10497.0,2441.0,0.518,0.25,0.736,34.7,21.1,10.6,2.5,178.7,0.25,7.5,82.0,1987
2,PHO,Armen Gilliam,UNLV,13.0,929.0,26421.0,12700.0,6401.0,1088.0,0.489,0.0,0.7759999999999999,28.4,13.7,6.9,1.2,58.1,0.106,-0.7,8.8,1987
3,BKN,Dennis Hopson,Ohio State,5.0,334.0,7509.0,3633.0,939.0,539.0,0.431,0.271,0.765,22.5,10.9,2.8,1.6,7.1,0.046,-1.7,0.7,1987
4,LAC,Reggie Williams,Georgetown,10.0,599.0,16013.0,7508.0,2393.0,1492.0,0.43700000000000006,0.298,0.784,26.7,12.5,4.0,2.5,26.0,0.078,0.2,8.9,1987
5,OKC,Scottie Pippen,University of Central Arkansas,17.0,1178.0,41069.0,18940.0,7494.0,6135.0,0.473,0.326,0.7040000000000001,34.9,16.1,6.4,5.2,125.1,0.146,4.1,63.2,1987
6,SAC,Kenny Smith,UNC,10.0,737.0,22213.0,9397.0,1454.0,4073.0,0.48,0.39899999999999997,0.8290000000000001,30.1,12.8,2.0,5.5,46.8,0.10099999999999999,0.0,11.2,1987
7,CLE,Kevin Johnson,California,12.0,735.0,25061.0,13127.0,2404.0,6711.0,0.493,0.305,0.841,34.1,17.9,3.3,9.1,92.8,0.17800000000000002,3.9,37.3,1987
8,CHI,Olden Polynice,Virginia,15.0,1058.0,24884.0,8265.0,7110.0,744.0,0.505,0.192,0.535,23.5,7.8,6.7,0.7,46.8,0.09,-2.3,-1.9,1987
9,OKC,Derrick McKey,Alabama,15.0,937.0,27229.0,10266.0,4387.0,2254.0,0.486,0.316,0.779,29.1,11.0,4.7,2.4,61.8,0.109,1.0,20.4,1987
10,CHI,Horace Grant,Clemson,17.0,1165.0,38621.0,12996.0,9443.0,2575.0,0.509,0.063,0.6920000000000001,33.2,11.2,8.1,2.2,118.2,0.147,1.4,33.1,1987
11,IND,Reggie Miller,UCLA,18.0,1389.0,47619.0,25279.0,4182.0,4141.0,0.47100000000000003,0.395,0.888,34.3,18.2,3.0,3.0,174.4,0.17600000000000002,3.5,66.1,1987
12,WAS,Muggsy Bogues,Wake Forest,14.0,889.0,25429.0,6858.0,2318.0,6726.0,0.45799999999999996,0.278,0.8270000000000001,28.6,7.7,2.6,7.6,54.0,0.102,0.8,17.9,1987
13,LAC,Joe Wolf,UNC,11.0,592.0,9636.0,2485.0,1933.0,596.0,0.423,0.16399999999999998,0.77,16.3,4.2,3.3,1.0,3.5,0.017,-4.8,-6.7,1987
14,GSW,Tellis Frank,Western Kentucky,5.0,264.0,4703.0,1710.0,1022.0,276.0,0.439,0.0,0.741,17.8,6.5,3.9,1.0,4.0,0.040999999999999995,-4.1,-2.5,1987
15,UTA,José Ortiz,Oregon State,2.0,64.0,391.0,183.0,73.0,18.0,0.44299999999999995,0.33299999999999996,0.596,6.1,2.9,1.1,0.3,0.0,0.002,-6.4,-0.4,1987
16,PHI,Chris Welp,Washington,3.0,109.0,1173.0,359.0,265.0,43.0,0.446,0.0,0.6809999999999999,10.8,3.3,2.4,0.4,1.0,0.042,-5.0,-0.9,1987
17,POR,Ronnie Murphy,Jacksonville University,1.0,18.0,89.0,36.0,11.0,6.0,0.28600000000000003,0.25,0.636,4.9,2.0,0.6,0.3,-0.2,-0.13,-11.5,-0.2,1987
18,NYK,Mark Jackson,St. John's,17.0,1296.0,39121.0,12489.0,4963.0,10334.0,0.447,0.332,0.77,30.2,9.6,3.8,8.0,91.8,0.113,1.8,37.5,1987
19,LAC,Ken Norman,Illinois,10.0,646.0,18992.0,8717.0,3949.0,1355.0,0.486,0.312,0.5670000000000001,29.4,13.5,6.1,2.1,27.1,0.069,-1.0,4.9,1987
20,DAL,Jim Farmer,Alabama,5.0,136.0,1454.0,715.0,186.0,111.0,0.428,0.282,0.73,10.7,5.3,1.4,0.8,0.7,0.024,-4.3,-0.8,1987
21,ATL,Dallas Comegys,DePaul,2.0,142.0,2241.0,856.0,452.0,95.0,0.457,0.0,0.682,15.8,6.0,3.2,0.7,1.1,0.024,-3.6,-0.9,1987
22,BOS,Reggie Lewis,Northeastern University,6.0,450.0,14676.0,7902.0,1938.0,1153.0,0.488,0.2,0.8240000000000001,32.6,17.6,4.3,2.6,38.9,0.127,1.4,12.5,1987
23,SAS,Greg Anderson,Houston,10.0,680.0,14040.0,4953.0,4246.0,385.0,0.49200000000000005,0.087,0.557,20.6,7.3,6.2,0.6,18.7,0.064,-3.0,-3.7,1987
24,DET,Fred Banks,UNLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
25,NYK,Ron Moore,West Virginia State University,1.0,14.0,59.0,24.0,8.0,1.0,0.31,0.0,0.75,4.2,1.7,0.6,0.1,-0.1,-0.07400000000000001,-12.5,-0.2,1987
26,DAL,Steve Alford,Indiana,4.0,169.0,1641.0,744.0,144.0,176.0,0.45899999999999996,0.324,0.87,9.7,4.4,0.9,1.0,3.2,0.09300000000000001,-1.0,0.4,1987
27,SAS,Nate Blackwell,Temple,1.0,10.0,112.0,37.0,6.0,18.0,0.366,0.182,0.833,11.2,3.7,0.6,1.8,-0.1,-0.045,-7.2,-0.1,1987
28,CHI,Rickie Winslow,Houston,1.0,7.0,45.0,7.0,7.0,2.0,0.231,0.0,0.5,6.4,1.0,1.0,0.3,-0.2,-0.165,-14.8,-0.1,1987
29,POR,Lester Fonville,Jackson State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
30,POR,Nikita Wilson,LSU,1.0,15.0,54.0,19.0,11.0,3.0,0.304,0.0,0.833,3.6,1.3,0.7,0.2,-0.1,-0.099,-11.3,-0.1,1987
31,DEN,Andre Moore,Loyola Chicago,1.0,10.0,50.0,24.0,14.0,6.0,0.33299999999999996,0.0,0.75,5.0,2.4,1.4,0.6,0.0,-0.013000000000000001,-6.0,-0.1,1987
32,MIL,Bob McCann,Morehead State University,5.0,178.0,2385.0,739.0,468.0,104.0,0.479,0.2,0.5770000000000001,13.4,4.2,2.6,0.6,2.0,0.040999999999999995,-3.8,-1.1,1987
33,CHI,Tony White,Tennessee,1.0,49.0,581.0,261.0,31.0,59.0,0.446,0.0,0.722,11.9,5.3,0.6,1.2,-0.3,-0.025,-5.4,-0.5,1987
34,IND,Brian Rowsom,UNC Wilmington,3.0,82.0,1092.0,457.0,273.0,47.0,0.455,0.667,0.818,13.3,5.6,3.3,0.6,2.4,0.107,-1.6,0.1,1987
35,HOU,Doug Lee,Purdue,3.0,73.0,415.0,168.0,42.0,32.0,0.41200000000000003,0.31,0.7,5.7,2.3,0.6,0.4,0.7,0.086,-2.4,0.0,1987
36,WAS,Duane Washington,Middle Tennessee,2.0,19.0,184.0,54.0,24.0,39.0,0.38299999999999995,0.5,0.8,9.7,2.8,1.3,2.1,0.4,0.092,0.4,0.1,1987
37,WAS,Derrick Dowell,USC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
38,LAC,Norris Coleman,Kansas State,1.0,29.0,431.0,153.0,81.0,13.0,0.34600000000000003,0.5,0.556,14.9,5.3,2.8,0.4,-0.4,-0.046,-7.1,-0.6,1987
39,PHI,Vincent Askew,Memphis,9.0,467.0,9361.0,3311.0,1176.0,1017.0,0.479,0.3,0.754,20.0,7.1,2.5,2.2,22.1,0.113,0.0,4.7,1987
40,MIL,Winston Garland,Missouri State University,7.0,511.0,13391.0,4799.0,1433.0,2421.0,0.43,0.281,0.83,26.2,9.4,2.8,4.7,14.2,0.051,-1.6,1.3,1987
41,CLE,Kannard Johnson,Western Kentucky,1.0,4.0,12.0,2.0,0.0,0.0,0.33299999999999996,0.0,0.0,3.0,0.5,0.0,0.0,-0.1,-0.23800000000000002,-9.7,0.0,1987
42,ATL,Terence Bailey,Wagner College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
43,PHI,Andrew Kennedy,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
44,ATL,Terry Coner,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
45,BOS,Brad Lohaus,Iowa,11.0,656.0,10378.0,3854.0,1869.0,714.0,0.44,0.361,0.733,15.8,5.9,2.8,1.1,15.2,0.07,-0.7,3.5,1987
46,PHO,Bruce Dalrymple,Georgia Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
47,LAC,Tim McCalister,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
48,BKN,Jamie Waller,Virginia Union University,1.0,9.0,91.0,42.0,13.0,3.0,0.4,0.0,0.556,10.1,4.7,1.4,0.3,-0.2,-0.09699999999999999,-7.1,-0.1,1987
49,NYK,Jerome Batiste,McNeese State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
50,SAS,Phil Zevenbergen,Washington,1.0,8.0,58.0,30.0,13.0,3.0,0.556,0.0,0.0,7.3,3.8,1.6,0.4,0.0,0.040999999999999995,-2.4,0.0,1987
51,SAC,Sven Myer,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
52,CLE,Donald Royal,Notre Dame,8.0,504.0,8442.0,3161.0,1431.0,500.0,0.473,0.0,0.77,16.8,6.3,2.8,1.0,19.1,0.109,-1.6,0.9,1987
53,PHO,Winston Crite,Texas A&M,2.0,31.0,264.0,87.0,65.0,15.0,0.479,0.0,0.76,8.5,2.8,2.1,0.5,0.1,0.012,-5.5,-0.2,1987
54,DEN,Tom Schafer,Iowa State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
55,OKC,Tommy Amaker,Duke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
56,CHI,John Fox,Millersville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
57,PHI,Hansi Gnad,University of Alaska Anchorage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
58,GSW,Darryl Johnson,Michigan State,1.0,11.0,28.0,12.0,2.0,1.0,0.41700000000000004,0.0,1.0,2.5,1.1,0.2,0.1,0.0,0.01,-8.4,0.0,1987
59,WAS,Danny Pearson,Jacksonville University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
60,IND,Sean Couch,Columbia University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
61,UTA,Clarence Martin,Western Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
62,PHI,Eric Riggins,Rutgers University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
63,POR,Kevin Gamble,Iowa,10.0,649.0,14508.0,6154.0,1457.0,1300.0,0.502,0.36,0.81,22.4,9.5,2.2,2.0,33.3,0.11,0.2,8.1,1987
