Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
27,UTA,Howard Wood,Tennessee,1.0,42.0,342.0,144.0,65.0,9.0,0.45799999999999996,0.0,0.654,8.1,3.4,1.5,0.2,0.3,0.049,-3.6,-0.1,1981
28,SAS,Gene Banks,Duke,6.0,468.0,13074.0,5305.0,2718.0,1335.0,0.539,0.043,0.73,27.9,11.3,5.8,2.9,31.2,0.115,0.7,8.7,1981
29,SAC,Eddie Johnson,Illinois,17.0,1199.0,32604.0,19202.0,4832.0,2550.0,0.47200000000000003,0.335,0.84,27.2,16.0,4.0,2.1,65.6,0.09699999999999999,-0.7,11.0,1981
30,SAS,Ed Rains,University of South Alabama,2.0,83.0,929.0,287.0,124.0,62.0,0.423,0.0,0.626,11.2,3.5,1.5,0.7,0.7,0.034,-3.9,-0.5,1981
31,BOS,Danny Ainge,BYU,14.0,1042.0,27755.0,11964.0,2768.0,4199.0,0.469,0.37799999999999995,0.846,26.6,11.5,2.7,4.0,71.5,0.124,1.1,21.9,1981
32,CHI,Mike Olliver,Lamar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
33,GSW,Sam Williams,Arizona State,4.0,257.0,4528.0,1628.0,1146.0,156.0,0.5,0.0,0.653,17.6,6.3,4.5,0.6,9.0,0.095,-0.8,1.4,1981
34,DEN,Ken Green,University of Texas-Pan American,1.0,7.0,72.0,31.0,27.0,2.0,0.48100000000000004,0.0,0.556,10.3,4.4,3.9,0.3,0.3,0.184,0.0,0.0,1981
35,WAS,Charles Davis,Vanderbilt,8.0,415.0,5050.0,2214.0,1008.0,309.0,0.451,0.17,0.737,12.2,5.3,2.4,0.7,5.8,0.055999999999999994,-3.1,-1.4,1981
36,IND,Ray Blume,Oregon State,1.0,49.0,546.0,226.0,41.0,68.0,0.45899999999999996,0.222,0.643,11.1,4.6,0.8,1.4,-0.1,-0.013000000000000001,-4.5,-0.3,1981
37,IND,Al Leslie,Bucknell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
38,ATL,Clyde Bradshaw,DePaul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
